statistics,player.id,player.name,player.firstname,player.lastname,player.age,player.birth.date,player.birth.place,player.birth.country,player.nationality,player.height,player.weight,player.injured,player.photo
"[{'team': {'id': 7893, 'name': 'Club Brugge U19', 'logo': 'https://media.api-sports.io/football/teams/7893.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 6, 'lineups': 6, 'minutes': 523, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 4, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 5, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",162211,C. Sandra,Cisse,Sandra,21,2003-12-16,,Belgium,Belgium,184 cm,74 kg,False,https://media.api-sports.io/football/players/162211.png
"[{'team': {'id': 7915, 'name': 'Midtjylland U19', 'logo': 'https://media.api-sports.io/football/teams/7915.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 6, 'lineups': 6, 'minutes': 533, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 2, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 5, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 2, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",180298,O. Fraulo,Oscar Luigi,Fraulo,21,2003-12-06,Odense,Denmark,Denmark,180 cm,77 kg,False,https://media.api-sports.io/football/players/180298.png
"[{'team': {'id': 7912, 'name': 'MTK U19', 'logo': 'https://media.api-sports.io/football/teams/7912.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 4, 'lineups': 4, 'minutes': 350, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 2, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 5, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",293161,Z. Vancsa,Zalán,Vancsa,20,2004-10-27,,Hungary,Hungary,,,False,https://media.api-sports.io/football/players/293161.png
"[{'team': {'id': 7914, 'name': 'Manchester City U19', 'logo': 'https://media.api-sports.io/football/teams/7914.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 3, 'lineups': 3, 'minutes': 251, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 1, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 5, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",158697,J. McAtee,James John,McAtee,22,2002-10-18,Salford,England,England,180 cm,,False,https://media.api-sports.io/football/players/158697.png
"[{'team': {'id': 7888, 'name': 'Benfica U19', 'logo': 'https://media.api-sports.io/football/teams/7888.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 10, 'lineups': 10, 'minutes': 768, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 10, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 4, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",335042,Pedro Santos,Pedro Miguel,Costa Santos,21,2003-02-10,Sanguedo,Portugal,Portugal,178 cm,66 kg,False,https://media.api-sports.io/football/players/335042.png
"[{'team': {'id': 7888, 'name': 'Benfica U19', 'logo': 'https://media.api-sports.io/football/teams/7888.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 10, 'lineups': 9, 'minutes': 782, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 1, 'out': 5, 'bench': 1}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 4, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 2, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",335056,Diego Moreira,Diego Manuel Jadon,da Silva Moreira,20,2004-08-06,,Belgium,Portugal,179 cm,73 kg,False,https://media.api-sports.io/football/players/335056.png
"[{'team': {'id': 7888, 'name': 'Benfica U19', 'logo': 'https://media.api-sports.io/football/teams/7888.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 10, 'lineups': 10, 'minutes': 811, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 7, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 4, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 0, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",271580,Martim Neto,Martim,Carvalho Neto,21,2003-01-14,,Portugal,Portugal,185 cm,82 kg,False,https://media.api-sports.io/football/players/271580.png
"[{'team': {'id': 7890, 'name': 'Borussia Dortmund U19', 'logo': 'https://media.api-sports.io/football/teams/7890.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 9, 'lineups': 5, 'minutes': 429, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 4, 'out': 4, 'bench': 4}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 4, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",335335,J. Rijkhoff,Julian Dean,Rijkhoff,19,2005-01-25,Purmerend,Netherlands,Netherlands,183 cm,,False,https://media.api-sports.io/football/players/335335.png
"[{'team': {'id': 7904, 'name': 'Juventus U19', 'logo': 'https://media.api-sports.io/football/teams/7904.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 8, 'lineups': 8, 'minutes': 637, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 7, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 4, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",270511,A. Chibozo,Ange Josué,Chibozo,21,2003-07-01,,Benin,Benin,,,False,https://media.api-sports.io/football/players/270511.png
"[{'team': {'id': 7921, 'name': 'PSG U19', 'logo': 'https://media.api-sports.io/football/teams/7921.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 7, 'lineups': 7, 'minutes': 610, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 1, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 4, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 3, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",162016,X. Simons,Xavier Quentin Shay,Simons,21,2003-04-21,Amsterdam,Netherlands,Netherlands,179 cm,58 kg,False,https://media.api-sports.io/football/players/162016.png
